,OCC_CODE,OCC_TITLE,TOT_EMP,A_MEAN,class_minor,class_major,OCC_CODE_minor,OCC_TITLE_minor,TOT_EMP_minor,A_MEAN_minor,OCC_CODE_major,OCC_TITLE_major,TOT_EMP_major,A_MEAN_major
161,29-1030,Dietitians and Nutritionists,64670,61210,29-1000,29-0000,29-1000,Health Diagnosing and Treating Practitioners,5367930,101960,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
162,29-1040,Optometrists,37220,119980,29-1000,29-0000,29-1000,Health Diagnosing and Treating Practitioners,5367930,101960,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
163,29-1050,Pharmacists,309550,123670,29-1000,29-0000,29-1000,Health Diagnosing and Treating Practitioners,5367930,101960,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
164,29-1060,Physicians and Surgeons,679280,210980,29-1000,29-0000,29-1000,Health Diagnosing and Treating Practitioners,5367930,101960,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
165,29-1070,Physician Assistants,114710,108430,29-1000,29-0000,29-1000,Health Diagnosing and Treating Practitioners,5367930,101960,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
166,29-1080,Podiatrists,9500,148220,29-1000,29-0000,29-1000,Health Diagnosing and Treating Practitioners,5367930,101960,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
167,29-1122,Occupational Therapists,126900,85350,29-1000,29-0000,29-1000,Health Diagnosing and Treating Practitioners,5367930,101960,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
168,29-1123,Physical Therapists,228600,88880,29-1000,29-0000,29-1000,Health Diagnosing and Treating Practitioners,5367930,101960,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
169,29-1124,Radiation Therapists,18260,86730,29-1000,29-0000,29-1000,Health Diagnosing and Treating Practitioners,5367930,101960,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
170,29-1125,Recreational Therapists,18840,50640,29-1000,29-0000,29-1000,Health Diagnosing and Treating Practitioners,5367930,101960,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
171,29-1126,Respiratory Therapists,129600,62500,29-1000,29-0000,29-1000,Health Diagnosing and Treating Practitioners,5367930,101960,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
172,29-1127,Speech-Language Pathologists,146900,80700,29-1000,29-0000,29-1000,Health Diagnosing and Treating Practitioners,5367930,101960,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
173,29-1128,Exercise Physiologists,6740,54760,29-1000,29-0000,29-1000,Health Diagnosing and Treating Practitioners,5367930,101960,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
174,29-1129,"Therapists, All Other",11950,57680,29-1000,29-0000,29-1000,Health Diagnosing and Treating Practitioners,5367930,101960,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
175,29-1130,Veterinarians,71060,105240,29-1000,29-0000,29-1000,Health Diagnosing and Treating Practitioners,5367930,101960,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
176,29-1140,Registered Nurses,2951960,75510,29-1000,29-0000,29-1000,Health Diagnosing and Treating Practitioners,5367930,101960,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
177,29-1150,Nurse Anesthetists,43520,174790,29-1000,29-0000,29-1000,Health Diagnosing and Treating Practitioners,5367930,101960,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
178,29-1160,Nurse Midwives,6250,106910,29-1000,29-0000,29-1000,Health Diagnosing and Treating Practitioners,5367930,101960,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
179,29-1170,Nurse Practitioners,179650,110030,29-1000,29-0000,29-1000,Health Diagnosing and Treating Practitioners,5367930,101960,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
180,29-1180,Audiologists,13300,82210,29-1000,29-0000,29-1000,Health Diagnosing and Treating Practitioners,5367930,101960,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
181,29-1199,"Health Diagnosing and Treating Practitioners, All Other",36680,85600,29-1000,29-0000,29-1000,Health Diagnosing and Treating Practitioners,5367930,101960,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
182,29-2010,Clinical Laboratory Technologists and Technicians,321220,53880,29-2000,29-0000,29-2000,Health Technologists and Technicians,3110180,48380,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
183,29-2020,Dental Hygienists,215150,75500,29-2000,29-0000,29-2000,Health Technologists and Technicians,3110180,48380,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
184,29-2030,Diagnostic Related Technologists and Technicians,390630,65260,29-2000,29-0000,29-2000,Health Technologists and Technicians,3110180,48380,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
185,29-2040,Emergency Medical Technicians and Paramedics,257210,37760,29-2000,29-0000,29-2000,Health Technologists and Technicians,3110180,48380,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
186,29-2050,Health Practitioner Support Technologists and Technicians,801590,36930,29-2000,29-0000,29-2000,Health Technologists and Technicians,3110180,48380,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
187,29-2060,Licensed Practical and Licensed Vocational Nurses,701690,47050,29-2000,29-0000,29-2000,Health Technologists and Technicians,3110180,48380,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
188,29-2070,Medical Records and Health Information Technicians,208650,44010,29-2000,29-0000,29-2000,Health Technologists and Technicians,3110180,48380,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
189,29-2080,"Opticians, Dispensing",72250,39930,29-2000,29-0000,29-2000,Health Technologists and Technicians,3110180,48380,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
190,29-2090,Miscellaneous Health Technologists and Technicians,141790,49540,29-2000,29-0000,29-2000,Health Technologists and Technicians,3110180,48380,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
191,29-9000,Other Healthcare Practitioners and Technical Occupations,168630,66590,29-9000,29-0000,29-9000,Other Healthcare Practitioners and Technical Occupations,168630,66590,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
192,31-1010,"Nursing, Psychiatric, and Home Health Aides",2355640,28180,31-1000,31-0000,31-1000,"Nursing, Psychiatric, and Home Health Aides",2355640,28180,31-0000,Healthcare Support Occupations,4117450,32380
193,31-2010,Occupational Therapy Assistants and Aides,50360,56150,31-2000,31-0000,31-2000,Occupational Therapy and Physical Therapist Assistants and Aides,191870,50130,31-0000,Healthcare Support Occupations,4117450,32380
194,31-2020,Physical Therapist Assistants and Aides,141510,47980,31-2000,31-0000,31-2000,Occupational Therapy and Physical Therapist Assistants and Aides,191870,50130,31-0000,Healthcare Support Occupations,4117450,32380
195,31-9010,Massage Therapists,105160,45880,31-9000,31-0000,31-9000,Other Healthcare Support Occupations,1569940,36500,31-0000,Healthcare Support Occupations,4117450,32380
196,31-9091,Dental Assistants,341060,39770,31-9000,31-0000,31-9000,Other Healthcare Support Occupations,1569940,36500,31-0000,Healthcare Support Occupations,4117450,32380
197,31-9092,Medical Assistants,673660,34540,31-9000,31-0000,31-9000,Other Healthcare Support Occupations,1569940,36500,31-0000,Healthcare Support Occupations,4117450,32380
198,31-9093,Medical Equipment Preparers,55610,37990,31-9000,31-0000,31-9000,Other Healthcare Support Occupations,1569940,36500,31-0000,Healthcare Support Occupations,4117450,32380
199,31-9094,Medical Transcriptionists,53730,36350,31-9000,31-0000,31-9000,Other Healthcare Support Occupations,1569940,36500,31-0000,Healthcare Support Occupations,4117450,32380
200,31-9095,Pharmacy Aides,36970,29190,31-9000,31-0000,31-9000,Other Healthcare Support Occupations,1569940,36500,31-0000,Healthcare Support Occupations,4117450,32380
201,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,89480,28690,31-9000,31-0000,31-9000,Other Healthcare Support Occupations,1569940,36500,31-0000,Healthcare Support Occupations,4117450,32380
202,31-9097,Phlebotomists,125280,35560,31-9000,31-0000,31-9000,Other Healthcare Support Occupations,1569940,36500,31-0000,Healthcare Support Occupations,4117450,32380
203,31-9099,"Healthcare Support Workers, All Other",88990,39110,31-9000,31-0000,31-9000,Other Healthcare Support Occupations,1569940,36500,31-0000,Healthcare Support Occupations,4117450,32380
204,33-1011,First-Line Supervisors of Correctional Officers,43760,68350,33-1000,33-0000,33-1000,Supervisors of Protective Service Workers,304940,76380,33-0000,Protective Service Occupations,3437410,48580
205,33-1012,First-Line Supervisors of Police and Detectives,116660,93100,33-1000,33-0000,33-1000,Supervisors of Protective Service Workers,304940,76380,33-0000,Protective Service Occupations,3437410,48580
206,33-1020,First-Line Supervisors of Fire Fighting and Prevention Workers,65920,80310,33-1000,33-0000,33-1000,Supervisors of Protective Service Workers,304940,76380,33-0000,Protective Service Occupations,3437410,48580
207,33-1090,"Miscellaneous First-Line Supervisors, Protective Service Workers",78610,52730,33-1000,33-0000,33-1000,Supervisors of Protective Service Workers,304940,76380,33-0000,Protective Service Occupations,3437410,48580
208,33-2010,Firefighters,321570,53240,33-2000,33-0000,33-2000,Fire Fighting and Prevention Workers,336230,53630,33-0000,Protective Service Occupations,3437410,48580
209,33-2020,Fire Inspectors,14660,62030,33-2000,33-0000,33-2000,Fire Fighting and Prevention Workers,336230,53630,33-0000,Protective Service Occupations,3437410,48580
210,33-3010,"Bailiffs, Correctional Officers, and Jailers",433900,49320,33-3000,33-0000,33-3000,Law Enforcement Workers,1217260,61190,33-0000,Protective Service Occupations,3437410,48580
211,33-3020,Detectives and Criminal Investigators,103450,85020,33-3000,33-0000,33-3000,Law Enforcement Workers,1217260,61190,33-0000,Protective Service Occupations,3437410,48580
212,33-3030,Fish and Game Wardens,6040,59260,33-3000,33-0000,33-3000,Law Enforcement Workers,1217260,61190,33-0000,Protective Service Occupations,3437410,48580
213,33-3040,Parking Enforcement Workers,8070,42200,33-3000,33-0000,33-3000,Law Enforcement Workers,1217260,61190,33-0000,Protective Service Occupations,3437410,48580
214,33-3050,Police Officers,665800,65460,33-3000,33-0000,33-3000,Law Enforcement Workers,1217260,61190,33-0000,Protective Service Occupations,3437410,48580
215,33-9010,Animal Control Workers,12080,38490,33-9000,33-0000,33-9000,Other Protective Service Workers,1578980,32430,33-0000,Protective Service Occupations,3437410,48580
216,33-9020,Private Detectives and Investigators,30990,56810,33-9000,33-0000,33-9000,Other Protective Service Workers,1578980,32430,33-0000,Protective Service Occupations,3437410,48580
217,33-9030,Security Guards and Gaming Surveillance Officers,1124610,32090,33-9000,33-0000,33-9000,Other Protective Service Workers,1578980,32430,33-0000,Protective Service Occupations,3437410,48580
218,33-9091,Crossing Guards,79880,31970,33-9000,33-0000,33-9000,Other Protective Service Workers,1578980,32430,33-0000,Protective Service Occupations,3437410,48580
219,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",144370,24420,33-9000,33-0000,33-9000,Other Protective Service Workers,1578980,32430,33-0000,Protective Service Occupations,3437410,48580
220,33-9093,Transportation Security Screeners,45250,41860,33-9000,33-0000,33-9000,Other Protective Service Workers,1578980,32430,33-0000,Protective Service Occupations,3437410,48580
221,33-9099,"Protective Service Workers, All Other",141790,34650,33-9000,33-0000,33-9000,Other Protective Service Workers,1578980,32430,33-0000,Protective Service Occupations,3437410,48580
222,35-1011,Chefs and Head Cooks,128600,52160,35-1000,35-0000,35-1000,Supervisors of Food Preparation and Serving Workers,1093000,38070,35-0000,Food Preparation and Serving Related Occupations,13374620,25580
223,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,964400,36190,35-1000,35-0000,35-1000,Supervisors of Food Preparation and Serving Workers,1093000,38070,35-0000,Food Preparation and Serving Related Occupations,13374620,25580
224,35-2010,Cooks,2403510,26560,35-2000,35-0000,35-2000,Cooks and Food Preparation Workers,3218110,26120,35-0000,Food Preparation and Serving Related Occupations,13374620,25580
225,35-2020,Food Preparation Workers,814600,24830,35-2000,35-0000,35-2000,Cooks and Food Preparation Workers,3218110,26120,35-0000,Food Preparation and Serving Related Occupations,13374620,25580
226,35-3010,Bartenders,631480,26780,35-3000,35-0000,35-3000,Food and Beverage Serving Workers,7630110,23940,35-0000,Food Preparation and Serving Related Occupations,13374620,25580
227,35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",3676180,22140,35-3000,35-0000,35-3000,Food and Beverage Serving Workers,7630110,23940,35-0000,Food Preparation and Serving Related Occupations,13374620,25580
228,35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",473860,23240,35-3000,35-0000,35-3000,Food and Beverage Serving Workers,7630110,23940,35-0000,Food Preparation and Serving Related Occupations,13374620,25580
229,35-3030,Waiters and Waitresses,2582410,25830,35-3000,35-0000,35-3000,Food and Beverage Serving Workers,7630110,23940,35-0000,Food Preparation and Serving Related Occupations,13374620,25580
230,35-3040,"Food Servers, Nonrestaurant",266190,24980,35-3000,35-0000,35-3000,Food and Beverage Serving Workers,7630110,23940,35-0000,Food Preparation and Serving Related Occupations,13374620,25580
231,35-9010,Dining Room and Cafeteria Attendants and Bartender Helpers,455700,23950,35-9000,35-0000,35-9000,Other Food Preparation and Serving Related Workers,1433400,23540,35-0000,Food Preparation and Serving Related Occupations,13374620,25580
232,35-9020,Dishwashers,504770,23190,35-9000,35-0000,35-9000,Other Food Preparation and Serving Related Workers,1433400,23540,35-0000,Food Preparation and Serving Related Occupations,13374620,25580
233,35-9030,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",416950,23260,35-9000,35-0000,35-9000,Other Food Preparation and Serving Related Workers,1433400,23540,35-0000,Food Preparation and Serving Related Occupations,13374620,25580
234,35-9090,Miscellaneous Food Preparation and Serving Related Workers,55980,25430,35-9000,35-0000,35-9000,Other Food Preparation and Serving Related Workers,1433400,23540,35-0000,Food Preparation and Serving Related Occupations,13374620,25580
235,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,154180,43150,37-1000,37-0000,37-1000,Supervisors of Building and Grounds Cleaning and Maintenance Workers,255580,46380,37-0000,Building and Grounds Cleaning and Maintenance Occupations,4421980,30020
236,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",101390,51280,37-1000,37-0000,37-1000,Supervisors of Building and Grounds Cleaning and Maintenance Workers,255580,46380,37-0000,Building and Grounds Cleaning and Maintenance Occupations,4421980,30020
237,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2156270,28950,37-2000,37-0000,37-2000,Building Cleaning and Pest Control Workers,3171520,28200,37-0000,Building and Grounds Cleaning and Maintenance Occupations,4421980,30020
238,37-2012,Maids and Housekeeping Cleaners,924290,25570,37-2000,37-0000,37-2000,Building Cleaning and Pest Control Workers,3171520,28200,37-0000,Building and Grounds Cleaning and Maintenance Occupations,4421980,30020
239,37-2019,"Building Cleaning Workers, All Other",13650,32710,37-2000,37-0000,37-2000,Building Cleaning and Pest Control Workers,3171520,28200,37-0000,Building and Grounds Cleaning and Maintenance Occupations,4421980,30020
240,37-2020,Pest Control Workers,77300,37950,37-2000,37-0000,37-2000,Building Cleaning and Pest Control Workers,3171520,28200,37-0000,Building and Grounds Cleaning and Maintenance Occupations,4421980,30020
241,37-3010,Grounds Maintenance Workers,994880,31600,37-3000,37-0000,37-3000,Grounds Maintenance Workers,994880,31600,37-0000,Building and Grounds Cleaning and Maintenance Occupations,4421980,30020
242,39-1010,First-Line Supervisors of Gaming Workers,30330,50250,39-1000,39-0000,39-1000,Supervisors of Personal Care and Service Workers,258960,42710,39-0000,Personal Care and Service Occupations,5451330,28090
243,39-1020,First-Line Supervisors of Personal Service Workers,228620,41710,39-1000,39-0000,39-1000,Supervisors of Personal Care and Service Workers,258960,42710,39-0000,Personal Care and Service Occupations,5451330,28090
244,39-2010,Animal Trainers,14830,35260,39-2000,39-0000,39-2000,Animal Care and Service Workers,214680,26540,39-0000,Personal Care and Service Occupations,5451330,28090
245,39-2020,Nonfarm Animal Caretakers,199850,25890,39-2000,39-0000,39-2000,Animal Care and Service Workers,214680,26540,39-0000,Personal Care and Service Occupations,5451330,28090
246,39-3010,Gaming Services Workers,113640,24240,39-3000,39-0000,39-3000,Entertainment Attendants and Related Workers,601890,24050,39-0000,Personal Care and Service Occupations,5451330,28090
247,39-3020,Motion Picture Projectionists,4840,25820,39-3000,39-0000,39-3000,Entertainment Attendants and Related Workers,601890,24050,39-0000,Personal Care and Service Occupations,5451330,28090
248,39-3030,"Ushers, Lobby Attendants, and Ticket Takers",133970,23610,39-3000,39-0000,39-3000,Entertainment Attendants and Related Workers,601890,24050,39-0000,Personal Care and Service Occupations,5451330,28090
249,39-3090,Miscellaneous Entertainment Attendants and Related Workers,349440,24140,39-3000,39-0000,39-3000,Entertainment Attendants and Related Workers,601890,24050,39-0000,Personal Care and Service Occupations,5451330,28090
250,39-4010,Embalmers,4070,46640,39-4000,39-0000,39-4000,Funeral Service Workers,65150,41130,39-0000,Personal Care and Service Occupations,5451330,28090
251,39-4020,Funeral Attendants,35340,28480,39-4000,39-0000,39-4000,Funeral Service Workers,65150,41130,39-0000,Personal Care and Service Occupations,5451330,28090
252,39-4030,"Morticians, Undertakers, and Funeral Directors",25740,57620,39-4000,39-0000,39-4000,Funeral Service Workers,65150,41130,39-0000,Personal Care and Service Occupations,5451330,28090
253,39-5011,Barbers,20130,33220,39-5000,39-0000,39-5000,Personal Appearance Workers,575110,30040,39-0000,Personal Care and Service Occupations,5451330,28090
254,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",377210,30190,39-5000,39-0000,39-5000,Personal Appearance Workers,575110,30040,39-0000,Personal Care and Service Occupations,5451330,28090
255,39-5090,Miscellaneous Personal Appearance Workers,177770,29380,39-5000,39-0000,39-5000,Personal Appearance Workers,575110,30040,39-0000,Personal Care and Service Occupations,5451330,28090
256,39-6010,"Baggage Porters, Bellhops, and Concierges",79840,30070,39-6000,39-0000,39-6000,"Baggage Porters, Bellhops, and Concierges",79840,30070,39-0000,Personal Care and Service Occupations,5451330,28090
257,39-7010,Tour and Travel Guides,49740,29630,39-7000,39-0000,39-7000,Tour and Travel Guides,49740,29630,39-0000,Personal Care and Service Occupations,5451330,28090
258,39-9010,Childcare Workers,564630,24610,39-9000,39-0000,39-9000,Other Personal Care and Service Workers,3605950,27190,39-0000,Personal Care and Service Occupations,5451330,28090
259,39-9020,Personal Care Aides,2211950,25090,39-9000,39-0000,39-9000,Other Personal Care and Service Workers,3605950,27190,39-0000,Personal Care and Service Occupations,5451330,28090
260,39-9030,Recreation and Fitness Workers,662040,35890,39-9000,39-0000,39-9000,Other Personal Care and Service Workers,3605950,27190,39-0000,Personal Care and Service Occupations,5451330,28090
261,39-9040,Residential Advisors,108380,29970,39-9000,39-0000,39-9000,Other Personal Care and Service Workers,3605950,27190,39-0000,Personal Care and Service Occupations,5451330,28090
262,39-9090,Miscellaneous Personal Care and Service Workers,58970,28270,39-9000,39-0000,39-9000,Other Personal Care and Service Workers,3605950,27190,39-0000,Personal Care and Service Occupations,5451330,28090
263,41-1010,First-Line Supervisors of Sales Workers,1429100,51930,41-1000,41-0000,41-1000,Supervisors of Sales Workers,1429100,51930,41-0000,Sales and Related Occupations,14542290,41790
264,41-2010,Cashiers,3657570,23270,41-2000,41-0000,41-2000,Retail Sales Workers,8787270,26520,41-0000,Sales and Related Occupations,14542290,41790
265,41-2021,Counter and Rental Clerks,426700,31200,41-2000,41-0000,41-2000,Retail Sales Workers,8787270,26520,41-0000,Sales and Related Occupations,14542290,41790
266,41-2022,Parts Salespersons,254870,34080,41-2000,41-0000,41-2000,Retail Sales Workers,8787270,26520,41-0000,Sales and Related Occupations,14542290,41790
267,41-2030,Retail Salespersons,4448120,28310,41-2000,41-0000,41-2000,Retail Sales Workers,8787270,26520,41-0000,Sales and Related Occupations,14542290,41790
268,41-3010,Advertising Sales Agents,133110,63360,41-3000,41-0000,41-3000,"Sales Representatives, Services",2046120,71490,41-0000,Sales and Related Occupations,14542290,41790
269,41-3020,Insurance Sales Agents,393830,67890,41-3000,41-0000,41-3000,"Sales Representatives, Services",2046120,71490,41-0000,Sales and Related Occupations,14542290,41790
270,41-3030,"Securities, Commodities, and Financial Services Sales Agents",415890,98770,41-3000,41-0000,41-3000,"Sales Representatives, Services",2046120,71490,41-0000,Sales and Related Occupations,14542290,41790
271,41-3040,Travel Agents,69480,42720,41-3000,41-0000,41-3000,"Sales Representatives, Services",2046120,71490,41-0000,Sales and Related Occupations,14542290,41790
272,41-3090,"Miscellaneous Sales Representatives, Services",1033820,64860,41-3000,41-0000,41-3000,"Sales Representatives, Services",2046120,71490,41-0000,Sales and Related Occupations,14542290,41790
273,41-4010,"Sales Representatives, Wholesale and Manufacturing",1663160,73680,41-4000,41-0000,41-4000,"Sales Representatives, Wholesale and Manufacturing",1663160,73680,41-0000,Sales and Related Occupations,14542290,41790
274,41-9010,"Models, Demonstrators, and Product Promoters",84560,33200,41-9000,41-0000,41-9000,Other Sales and Related Workers,616650,51380,41-0000,Sales and Related Occupations,14542290,41790
275,41-9020,Real Estate Brokers and Sales Agents,197080,65240,41-9000,41-0000,41-9000,Other Sales and Related Workers,616650,51380,41-0000,Sales and Related Occupations,14542290,41790
276,41-9030,Sales Engineers,65720,108610,41-9000,41-0000,41-9000,Other Sales and Related Workers,616650,51380,41-0000,Sales and Related Occupations,14542290,41790
277,41-9040,Telemarketers,164160,28550,41-9000,41-0000,41-9000,Other Sales and Related Workers,616650,51380,41-0000,Sales and Related Occupations,14542290,41790
278,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",9430,34120,41-9000,41-0000,41-9000,Other Sales and Related Workers,616650,51380,41-0000,Sales and Related Occupations,14542290,41790
279,41-9099,"Sales and Related Workers, All Other",95690,40480,41-9000,41-0000,41-9000,Other Sales and Related Workers,616650,51380,41-0000,Sales and Related Occupations,14542290,41790
280,43-1010,First-Line Supervisors of Office and Administrative Support Workers,1477560,59340,43-1000,43-0000,43-1000,Supervisors of Office and Administrative Support Workers,1477560,59340,43-0000,Office and Administrative Support Occupations,21828990,38990
281,43-2010,"Switchboard Operators, Including Answering Service",71600,31290,43-2000,43-0000,43-2000,Communications Equipment Operators,78860,32140,43-0000,Office and Administrative Support Occupations,21828990,38990
282,43-2020,Telephone Operators,5160,39360,43-2000,43-0000,43-2000,Communications Equipment Operators,78860,32140,43-0000,Office and Administrative Support Occupations,21828990,38990
283,43-2090,Miscellaneous Communications Equipment Operators,2100,43410,43-2000,43-0000,43-2000,Communications Equipment Operators,78860,32140,43-0000,Office and Administrative Support Occupations,21828990,38990
284,43-3010,Bill and Account Collectors,251330,38220,43-3000,43-0000,43-3000,Financial Clerks,2978640,39660,43-0000,Office and Administrative Support Occupations,21828990,38990
285,43-3020,Billing and Posting Clerks,469250,39520,43-3000,43-0000,43-3000,Financial Clerks,2978640,39660,43-0000,Office and Administrative Support Occupations,21828990,38990
286,43-3030,"Bookkeeping, Accounting, and Auditing Clerks",1530430,42110,43-3000,43-0000,43-3000,Financial Clerks,2978640,39660,43-0000,Office and Administrative Support Occupations,21828990,38990
287,43-3040,Gaming Cage Workers,16020,28980,43-3000,43-0000,43-3000,Financial Clerks,2978640,39660,43-0000,Office and Administrative Support Occupations,21828990,38990
288,43-3050,Payroll and Timekeeping Clerks,144030,46110,43-3000,43-0000,43-3000,Financial Clerks,2978640,39660,43-0000,Office and Administrative Support Occupations,21828990,38990
289,43-3060,Procurement Clerks,68100,43180,43-3000,43-0000,43-3000,Financial Clerks,2978640,39660,43-0000,Office and Administrative Support Occupations,21828990,38990
290,43-3070,Tellers,468470,30140,43-3000,43-0000,43-3000,Financial Clerks,2978640,39660,43-0000,Office and Administrative Support Occupations,21828990,38990
291,43-3090,Miscellaneous Financial Clerks,31010,43670,43-3000,43-0000,43-3000,Financial Clerks,2978640,39660,43-0000,Office and Administrative Support Occupations,21828990,38990
292,43-4010,Brokerage Clerks,55100,53940,43-4000,43-0000,43-4000,Information and Record Clerks,5773540,35750,43-0000,Office and Administrative Support Occupations,21828990,38990
293,43-4020,Correspondence Clerks,5460,38990,43-4000,43-0000,43-4000,Information and Record Clerks,5773540,35750,43-0000,Office and Administrative Support Occupations,21828990,38990
294,43-4030,"Court, Municipal, and License Clerks",142350,41100,43-4000,43-0000,43-4000,Information and Record Clerks,5773540,35750,43-0000,Office and Administrative Support Occupations,21828990,38990
295,43-4040,"Credit Authorizers, Checkers, and Clerks",29980,40670,43-4000,43-0000,43-4000,Information and Record Clerks,5773540,35750,43-0000,Office and Administrative Support Occupations,21828990,38990
296,43-4050,Customer Service Representatives,2871400,36470,43-4000,43-0000,43-4000,Information and Record Clerks,5773540,35750,43-0000,Office and Administrative Support Occupations,21828990,38990
297,43-4060,"Eligibility Interviewers, Government Programs",137830,46480,43-4000,43-0000,43-4000,Information and Record Clerks,5773540,35750,43-0000,Office and Administrative Support Occupations,21828990,38990
298,43-4070,File Clerks,110020,33810,43-4000,43-0000,43-4000,Information and Record Clerks,5773540,35750,43-0000,Office and Administrative Support Occupations,21828990,38990
299,43-4080,"Hotel, Motel, and Resort Desk Clerks",260780,25130,43-4000,43-0000,43-4000,Information and Record Clerks,5773540,35750,43-0000,Office and Administrative Support Occupations,21828990,38990
300,43-4110,"Interviewers, Except Eligibility and Loan",192820,35520,43-4000,43-0000,43-4000,Information and Record Clerks,5773540,35750,43-0000,Office and Administrative Support Occupations,21828990,38990
301,43-4120,"Library Assistants, Clerical",88970,28960,43-4000,43-0000,43-4000,Information and Record Clerks,5773540,35750,43-0000,Office and Administrative Support Occupations,21828990,38990
302,43-4130,Loan Interviewers and Clerks,222620,41310,43-4000,43-0000,43-4000,Information and Record Clerks,5773540,35750,43-0000,Office and Administrative Support Occupations,21828990,38990
303,43-4140,New Accounts Clerks,41500,37000,43-4000,43-0000,43-4000,Information and Record Clerks,5773540,35750,43-0000,Office and Administrative Support Occupations,21828990,38990
304,43-4150,Order Clerks,159210,35790,43-4000,43-0000,43-4000,Information and Record Clerks,5773540,35750,43-0000,Office and Administrative Support Occupations,21828990,38990
305,43-4160,"Human Resources Assistants, Except Payroll and Timekeeping",124600,41620,43-4000,43-0000,43-4000,Information and Record Clerks,5773540,35750,43-0000,Office and Administrative Support Occupations,21828990,38990
306,43-4170,Receptionists and Information Clerks,1043630,30350,43-4000,43-0000,43-4000,Information and Record Clerks,5773540,35750,43-0000,Office and Administrative Support Occupations,21828990,38990
307,43-4180,Reservation and Transportation Ticket Agents and Travel Clerks,132050,41730,43-4000,43-0000,43-4000,Information and Record Clerks,5773540,35750,43-0000,Office and Administrative Support Occupations,21828990,38990
308,43-4190,Miscellaneous Information and Record Clerks,155220,41900,43-4000,43-0000,43-4000,Information and Record Clerks,5773540,35750,43-0000,Office and Administrative Support Occupations,21828990,38990
309,43-5010,Cargo and Freight Agents,92280,46070,43-5000,43-0000,43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",4149140,35950,43-0000,Office and Administrative Support Occupations,21828990,38990
310,43-5020,Couriers and Messengers,75720,30620,43-5000,43-0000,43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",4149140,35950,43-0000,Office and Administrative Support Occupations,21828990,38990
311,43-5030,Dispatchers,294900,43050,43-5000,43-0000,43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",4149140,35950,43-0000,Office and Administrative Support Occupations,21828990,38990
312,43-5040,"Meter Readers, Utilities",33570,44640,43-5000,43-0000,43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",4149140,35950,43-0000,Office and Administrative Support Occupations,21828990,38990
313,43-5051,Postal Service Clerks,78830,50860,43-5000,43-0000,43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",4149140,35950,43-0000,Office and Administrative Support Occupations,21828990,38990
